bid,name,pattern,subPattern,expected,got,delta,deltaAbs
3989154,Luminous Memory(super11killer) x0.9,speed,low stream,13.4,12.87,0.53,0.53
5430556,Gloom(jesen) x1.25,jack,mid chordjack,13.9,13.48,0.42,0.42
1779696,Gloom(jesen) x1.3,jack,mid chordjack,14.4,13.90,0.50,0.50
3211370,The Truth Never Spoken(rachel) x1.05,jack,mid chordjack,13.4,12.87,0.53,0.53
3260898,The Truth Never Spoken(rachel) x1.1,jack,mid chordjack,13.8,13.59,0.21,0.21
2308947,Vertex Beta(spz cut) x0.9,jack,mid chordjack,14.6,14.16,0.44,0.44
3321440,Valkyrie Revolutia(rachel),jack,mid chordjack,16.4,15.86,0.54,0.54
4704824,M-A[impossible jack](wllk2) x0.85,jack,mid chordjack,13.9,13.62,0.28,0.28
5561111,manual of youth(tsumikiyuzu) x1.3,jack,mid chordjack,14,13.76,0.24,0.24
3476973,Don't Stop The Music(rg7v3),jack,mid chordjack,6.7,6.50,0.20,0.20
4262736,oddloop(teradora),speed,mid stream,12.2,12.23,-0.03,0.03
4670616,Toromi Hearts 2(rachel),speed,mid stream,14.6,14.57,0.03,0.03
3163355,Palette(rachel) x1.2,speed,mid stream,14.6,14.76,-0.16,0.16
1631150,Green-Eyed Jealousy[True End](rachel),speed,mid stream,14.6,14.85,-0.25,0.25
3824601,GGF(magikarp),speed,mid stream,10.9,11.03,-0.13,0.13
4432306,Hyper Bass(11bit) x1.35,tech,mix tech,15,15.24,-0.24,0.24
4237589,KOKUSHIMUSOU(nate) x1.15,tech,mix tech,14.6,14.70,-0.10,0.10
4432307,Looking for Edge of Ground(evening) x1.15,tech,mix tech,14.6,14.90,-0.30,0.30
2162156,We Could Get More Machinegun Psystyle!(hydria),tech,mix tech,13.5,13.32,0.18,0.18
3853701,We Could Get More Machinegun Psystyle!(hydria) x1.05,tech,mix tech,14,14.07,-0.07,0.07
5195211,K.Y.A.F.A[UNSTOPPABLE DOMINATION](evening) x1.227,tech,mix tech,14,13.77,0.23,0.23
1699242,Trickstarz[STEPMANIA](hi19hi19) x1.3,speed,staircase,15,14.18,0.82,0.82
3755273,Green-Eyed Jealousy(e9v2),speed,staircase,17.6,17.27,0.33,0.33
1158910,Shadows of Cats(wafles) x1.0,tech,stream tech,12.2,11.18,1.02,1.02
5195273,Shadows of Cats(wafles) x1.25,tech,stream tech,14,14.14,-0.14,0.14
4776927,Weird Autumn(emik) x1.2,tech,stream tech,14,13.94,0.06,0.06
4776929,Weird Autumn(emik) x1.3,tech,stream tech,14.6,14.79,-0.19,0.19
3053763,oddloop(ska),tech,stream tech,11.6,11.22,0.38,0.38
3942033,oddloop(ska) x1.3,tech,stream tech,15,14.95,0.05,0.05
1712332,northern_limit(underjoy),tech,stream tech,15.6,15.00,0.60,0.60
3494225,Kimiyo[Agapimenoi](frolica),tech,stream tech,14.2,13.81,0.39,0.39
3494228,Kimiyo[Eirini](frolica),tech,stream tech,13.6,13.58,0.02,0.02
2981901,Acquaintance(skwid),tech,stream tech,10,10.66,-0.66,0.66
2981895,Acquaintance(skwid) x1.05,tech,stream tech,11,11.49,-0.49,0.49
2981897,Acquaintance(skwid) x1.1,tech,stream tech,12,12.27,-0.27,0.27
2981896,Acquaintance(skwid) x1.15,tech,stream tech,13,12.76,0.24,0.24
2981899,Acquaintance(skwid) x1.2,tech,stream tech,13.5,13.12,0.38,0.38
2981898,Acquaintance(skwid) x1.25,tech,stream tech,14,13.53,0.47,0.47
2981900,Acquaintance(skwid) x1.3,tech,stream tech,14.3,13.68,0.62,0.62
3942038,Acquaintance(skwid) x1.35,tech,stream tech,14.6,14.27,0.33,0.33
4632118,Acquaintance(skwid) x1.4,tech,stream tech,15,14.48,0.52,0.52
3090567,Crescent Moon Island(shoegazer) x0.9,tech,stream tech,12.2,11.80,0.40,0.40
3090566,Crescent Moon Island(shoegazer) x0.95,tech,stream tech,13,12.66,0.34,0.34
3262554,Crescent Moon Island(shoegazer) x1.0,tech,stream tech,13.6,13.34,0.26,0.26
3090568,Crescent Moon Island(shoegazer) x1.05,tech,stream tech,14,13.75,0.25,0.25
3090570,Crescent Moon Island(shoegazer) x1.1,tech,stream tech,14.4,14.19,0.21,0.21
3090569,Crescent Moon Island(shoegazer) x1.15,tech,stream tech,14.8,14.58,0.22,0.22
3090571,Crescent Moon Island(shoegazer) x1.2,tech,stream tech,15.4,14.75,0.65,0.65
5255752,Future Candy(leo137) x1.5,tech,stream tech,15,15.08,-0.08,0.08
4168392,Luminous Story(Magikarp1234),tech,stream tech,12.7,12.44,0.26,0.26
3915895,Playing with Ruby(ska) x1.2,tech,stream tech,13.4,12.60,0.80,0.80
4788540,The Poetic Edda(kilotek),tech,stream tech,14.6,15.24,-0.64,0.64
4432318,Possessed By The Blood(ska) x1.25,tech,stream tech,15.2,15.10,0.10,0.10
3681342,Heikousen(lynessa) x1.15,tech,stream tech,14.6,14.32,0.28,0.28
3681345,Heikousen(lynessa) x1.2,tech,stream tech,15,14.82,0.18,0.18
3249835,Louder than steel(ska) x1.25,tech,stream tech,14.9,15.19,-0.29,0.29
4507383,Bismuth[Singularity](ababa),tech,stream tech,14.6,14.84,-0.24,0.24
5174997,Bismuth[Supernova](archaic),tech,stream tech,14.4,14.03,0.37,0.37
5167720,Bismuth[Nebula](eclipse),tech,stream tech,11.4,11.31,0.09,0.09
3444323,Nostos2021(xingren),tech,stream tech,17,16.74,0.26,0.26
4130341,Re Aoharu(11bit),tech,stream tech,13.2,13.03,0.17,0.17
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 1st ~ (Marathon)],course,rc course,1,1.37,-0.37,0.37
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 2nd ~ (Marathon)],course,rc course,2,1.96,0.04,0.04
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 3rd ~ (Marathon)],course,rc course,3,2.73,0.27,0.27
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 4th ~ (Marathon)],course,rc course,4,4.04,-0.04,0.04
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 5th ~ (Marathon)],course,rc course,5,5.84,-0.84,0.84
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 6th ~ (Marathon)],course,rc course,6,6.32,-0.32,0.32
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 7th ~ (Marathon)],course,rc course,7,6.56,0.44,0.44
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 8th ~ (Marathon)],course,rc course,8,8.90,-0.90,0.90
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 9th ~ (Marathon)],course,rc course,9,9.15,-0.15,0.15
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 10th ~ (Marathon)],course,rc course,10,10.46,-0.46,0.46
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-ALPHA ~ (Marathon)],course,rc course,11,11.04,-0.04,0.04
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-BETA ~ (Marathon)],course,rc course,12,12.54,-0.54,0.54
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-GAMMA ~ (Marathon)],course,rc course,13,12.62,0.38,0.38
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-DELTA ~ (Marathon)],course,rc course,14,14.02,-0.02,0.02
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-EPSILON ~ (Marathon)],course,rc course,15,15.37,-0.37,0.37
,Various Artists - Dan ~ REFORM ~ FINAL ([GB]Thaumiel) [~ FINAL - ETA ~ ( Marathon )],course,rc course,17,16.51,0.49,0.49
5319863,Dan - Signicial's Courses[[4K] Stage III - Termination [3rd Dan] (Marathon)],course,rc course,3.1,2.47,0.63,0.63
5319952,Dan - Signicial's Courses[[4K] Stage IV - Resuscitation [4th Dan] (Marathon)],course,rc course,3.7,3.37,0.33,0.33
5031832,Dan - Signicial's Courses[[4K] Stage V - Disturbance [5th Dan] (Marathon)],course,rc course,4.6,4.68,-0.08,0.08
5031833,Dan - Signicial's Courses[[4K] Stage VI - Revitalization [6th Dan] (Marathon)],course,rc course,5.6,4.99,0.61,0.61
5320775,Dan - Signicial's Courses[[4K] Stage VII - Motivation [7th Dan] (Marathon)],course,rc course,6.4,6.24,0.16,0.16
5320776,Dan - Signicial's Courses[[4K] Stage VIII - Misfortune [8th Dan] (Marathon)],course,rc course,7.5,6.98,0.52,0.52
5320774,Dan - Signicial's Courses[[4K] Stage IX - Catastrophe [9th Dan] (Marathon)],course,rc course,8.7,8.50,0.20,0.20
5031834,Dan - Signicial's Courses[[4K] Stage X - Finale [10th Dan] (Marathon)],course,rc course,9.6,9.36,0.24,0.24
3216602,Dan - Signicial's Courses[[4K] Stage XI - Alpha [11th Dan] (Marathon)],course,rc course,10.5,10.96,-0.46,0.46
5637760,Dan - Signicial's Courses[[4K] Special Stage I - Luminal [11.5th Dan] (Marathon)],course,rc course,11.1,10.71,0.39,0.39
3216603,Dan - Signicial Courses[[4K] Stage XII - Beta [12th Dan] (Marathon)],course,rc course,11.8,11.84,-0.04,0.04
3216604,Dan - Signicial's Courses[[4K] Stage XIII - Gamma [13th Dan] (Marathon)],course,rc course,12.7,12.52,0.18,0.18
3216606,Dan - Signicial's Courses[[4K] Stage XIV - Delta [14th Dan] (Marathon)],course,rc course,13.7,14.04,-0.34,0.34
5442562,Dan - Signicial's Courses[[4K] Special Stage II - Tachyon [14.5th Dan] (Marathon)],course,rc course,14.3,14.72,-0.42,0.42
3216605,Dan - Signicial's Courses[[4K] Last Stage - Epsilon [15th Dan] (Marathon)],course,rc course,14.9,15.03,-0.13,0.13
5370092,Dan - Signicial's Courses[[4K] Extra Stage I - Zeta [16th Dan] (Marathon)],course,rc course,16.1,16.36,-0.26,0.26
5597992,Dan - Signicial's Courses[[4K] Extra Stage II - Eta [17th Dan] (Marathon)],course,rc course,17.1,16.82,0.28,0.28
5680925,Dan - Signicial's Courses[[4K] Extra Stage III - Theta [18th Dan] (Marathon)],course,rc course,17.9,18.24,-0.34,0.34
5695357,Reincarnation(signicial dan),jack,low chordjack,2.9,2.26,0.64,0.64
5695347,Backyun! - BAD GIRL -(signicial dan),jack,low chordjack,3.7,3.97,-0.27,0.27
5695360,air's gravity(signicial dan),jack,low chordjack,4.8,4.84,-0.04,0.04
5695358,Another Medium(signicial dan),jack,low chordjack,5.6,5.07,0.53,0.53
5695355,Saltwater Chicken & Duck Roasted Chicken & Duck(signicial dan),jack,low chordjack,6.6,6.17,0.43,0.43
5695349,EVERGREEN(signicial dan),jack,mid chordjack,7.4,6.91,0.49,0.49
5695345,Alea jacta est(signicial dan),jack,low chordjack,8.4,7.05,1.35,1.35
5695353,What is love(signicial dan),jack,high chordjack,9.1,8.78,0.32,0.32
5695359,Count What You Have Now(signicial dan) x1.05,jack,high chordjack,10.3,10.09,0.21,0.21
5590322,Cryonix(signicial dan),jack,low chordjack,11.5,11.70,-0.20,0.20
5695348,lost found melody(signicial dan),jack,low chordjack,11.8,11.28,0.52,0.52
5695354,The Safari(signicial dan),jack,anchor chordjack,12.6,11.95,0.65,0.65
5695350,Nijiiro Kekkai Gekkyou no Goku(signicial dan),jack,anchor chordjack,13.6,13.39,0.21,0.21
5590317,Nijuu(signicial dan),jack,anchor chordjack,14.5,14.73,-0.23,0.23
5695352,Ragnarok(signicial dan) x0.9,jack,high chordjack,16.1,16.10,0.00,0.00
5370048,Ambitious(signicial dan),tech,stream tech,3.3,2.20,1.10,1.10
5370044,for Q(signicial dan),tech,stream tech,3.7,4.01,-0.31,0.31
5370045,kibou no tsuki(signicial dan),tech,jack tech,4.5,4.42,0.08,0.08
5370043,BIRTH(signicial dan),tech,stream tech,5.7,4.68,1.02,1.02
5370047,girls.exe(signicial dan),tech,stream tech,6.4,5.69,0.71,0.71
5370050,Hestia(signicial dan),tech,stream tech,7.8,5.86,1.94,1.94
5370046,T'Suramic(signicial dan),tech,stream tech,9.6,8.55,1.05,1.05
5370036,Nowise(signicial dan),tech,jack tech,10.5,10.09,0.41,0.41
5590320,Veins Resonance(signicial dan),tech,jack tech,10.7,9.63,1.07,1.07
5370049,Rainshower(signicial dan),tech,jack tech,11.6,11.47,0.13,0.13
5370039,Sulfide(signicial dan),tech,stream tech,13.5,13.98,-0.48,0.48
5590318,sirens eye(signicial dan),tech,stream tech,14.4,14.09,0.31,0.31
5370038,POLYBIUS GB SPEEDRUN(signicial dan) x1.2,tech,stream tech,14.8,15.12,-0.32,0.32
5370037,NUCLEAR-STAR(signicial dan),tech,stream tech,16.2,16.45,-0.25,0.25
5366872,Phi(signicial dan),speed,low stream,3.1,3.11,-0.01,0.01
5375029,498 Tokio(signicial dan),speed,low stream,3.8,3.93,-0.13,0.13
5366871,The Wanderlast(signicial dan),speed,low stream,4.4,4.71,-0.31,0.31
5366875,BREAK IT(signicial dan),speed,mid stream,5.8,5.30,0.50,0.50
5366877,Serendipity(signicial dan),speed,low stream,6.1,6.15,-0.05,0.05
5366870,Eureka(signicial dan),speed,low stream,7.3,6.49,0.81,0.81
5366868,Angel Halo(signicial dan),speed,high stream,9.1,8.87,0.23,0.23
5366867,cold planet(signicial dan),speed,high stream,9.6,9.68,-0.08,0.08
5366873,NightTheater(signicial dan),speed,high stream,10.7,10.00,0.70,0.70
5590323,Kyoumen no Nami(signicial dan),speed,mid stream,11.7,11.21,0.49,0.49
5366863,DON'T GIVE A FUCK(signicial dan),speed,high stream,11.6,11.45,0.15,0.15
5366874,Nirmiti(signicial dan),speed,high stream,12.9,13.03,-0.13,0.13
5366864,Tojita Sekai(signicial dan),speed,low stream,13.9,14.12,-0.22,0.22
5590321,Nevereverland(signicial dan) x1.05,speed,mid stream,14.5,14.81,-0.31,0.31
5366865,Disconnected Trance(signicial dan) x1.05,speed,mid stream,14.9,15.15,-0.25,0.25
5375823,Kouyou(signicial dan),stamina,light jumpstream,3.1,2.98,0.12,0.12
5375826,Ouka Sange(signicial dan),stamina,light handstream,4.7,4.95,-0.25,0.25
5375824,Blue Moon(signicial dan),stamina,dense handstream,5.9,5.75,0.15,0.15
5375829,Synthesis.(signicial dan),stamina,light handstream,6.4,6.70,-0.30,0.30
5375819,Literal Crystal in Cyphisonia(signicial dan),stamina,dense jumpstream,7.6,8.40,-0.80,0.80
5375831,CERCA-ESOTERICA(signicial dan),stamina,dense handstream,8.6,9.61,-1.01,1.01
5375820,Kisaragi(signicial dan),stamina,dense jumpstream,9.8,9.79,0.01,0.01
5375825,Sendan Life(signicial dan),stamina,light jumpstream,10.7,11.10,-0.40,0.40
5590319,Chronicle(signicial dan),stamina,dense handstream,10.8,11.21,-0.41,0.41
5375822,The Limit Does Not Exist(signicial dan),stamina,dense jumpstream,12.2,11.97,0.23,0.23
5375821,[ns](signicial dan),stamina,dense jumpstream,12.6,12.79,-0.19,0.19
5375845,Excuse Me But Could You Please RIP(signicial dan),stamina,dense handstream,13.8,13.82,-0.02,0.02
5590316,Get into the Abyssmare(signicial dan) x1.2,stamina,dense handstream,14.2,14.12,0.08,0.08
5375828,Juggernaut(signicial dan) x1.25,stamina,dense handstream,15,15.21,-0.21,0.21
5375817,LA MD(signicial dan) 0.9x,stamina,dense jumpstream,16.1,15.89,0.21,0.21
5598212,SIVA(signicial dan),jack,high chordjack,17.2,16.94,0.26,0.26
5598211,silly-willy-nilly(signicial dan),tech,jack tech,16.6,16.48,0.12,0.12
5600849,The Final Musical Dance I(signicial dan) x1.025,speed,low stream,17.3,17.26,0.04,0.04
5598209,EMPIRE OF FLAME(signicial) x1.15,stamina,dense handstream,17.4,16.79,0.61,0.61
5680975,Heaven's Fall(signicial dan),jack,anchor chordjack,17.6,17.69,-0.09,0.09
5679828,Necrophagiatoast(signicial dan) x1.075,tech,stream tech,17.8,18.57,-0.77,0.77
5679829,Discharge(signicial) x1.15,speed,low stream,18,18.40,-0.40,0.40
5680977,It Has To Be This Way(signicial dan),stamina,dense handstream,18.3,18.07,0.23,0.23
5253584,Life Garden(follow speed dan),speed,low stream,10.3,9.63,0.67,0.67
5253560,Elsa de la bibliotheque(follow speed dan),speed,mid stream,10.3,9.65,0.65,0.65
5253572,Chou Aoshiyounen no Tame no Choutan na Choukoten Choubukyoku(follow speed dan),speed,high stream,10.3,9.64,0.66,0.66
5253585,Hoshi ga Furanai Machi(follow speed dan),speed,high stream,10.4,9.84,0.56,0.56
5253561,Scarlet Tempest(follow speed dan),speed,mid stream,10.4,9.46,0.94,0.94
5253573,Otenba Renjyo(follow speed dan),speed,high stream,10.4,11.08,-0.68,0.68
5253586,Flower Dance(follow speed dan),speed,high stream,11.2,9.95,1.25,1.25
5253562,Hymn(follow speed dan),speed,mid stream,11.2,10.94,0.26,0.26
5253574,yo ma ya ko(follow speed dan),speed,high stream,11.2,9.96,1.24,1.24
5253587,The Crimson Empire(follow speed dan),speed,high stream,12.4,12.11,0.29,0.29
5253563,Anhedonia(follow speed dan),speed,mid stream,12.4,12.71,-0.31,0.31
5253575,Sora no Hajimaru Basho(follow speed dan),speed,high stream,12.4,12.97,-0.57,0.57
5253588,ntelecheia(follow speed dan),speed,high stream,13.4,13.12,0.28,0.28
5253564,Imitation of fragrance(follow speed dan),speed,mid stream,13.4,12.90,0.50,0.50
5253576,Brionac Lugh Lamhfhata(follow speed dan),speed,high stream,13.4,12.25,1.15,1.15
5253589,End Time(follow speed dan),speed,high stream,13.6,12.94,0.66,0.66
5253565,AIR(follow speed dan),speed,mid stream,13.6,13.21,0.39,0.39
5253577,Akasha(follow speed dan),speed,high stream,13.6,13.20,0.40,0.40
5253590,Metheus(follow speed dan),speed,high stream,14,13.52,0.48,0.48
5253566,BABYLON(follow speed dan),speed,mid stream,14,13.98,0.02,0.02
5253578,weenywalker(follow speed dan),speed,low stream,14,13.85,0.15,0.15
5253591,osanagokoro chi no uchouten(follow speed dan),speed,high stream,14.4,14.06,0.34,0.34
5253567,hiiro gekka kyosakinoze(follow speed dan),speed,mid stream,14.4,13.88,0.52,0.52
5253579,Dark Flight Dreamer(follow speed dan),speed,high stream,14.4,14.15,0.25,0.25
5253592,Love Lie(follow speed dan),speed,high stream,14.6,14.18,0.42,0.42
5253568,Palette(follow speed dan),speed,mid stream,14.6,14.37,0.23,0.23
5253580,M-A(follow speed dan),speed,mid stream,14.6,14.32,0.28,0.28
5253583,kori metsuno 135 shosetsu(follow speed dan),speed,high stream,15,15.01,-0.01,0.01
5253559,Nibelungen(follow speed dan),speed,mid stream,15,14.76,0.24,0.24
5253571,Fake(follow speed dan),speed,high stream,15,14.95,0.05,0.05
5253594,Regression(follow speed dan),speed,high stream,15.4,15.16,0.24,0.24
5253570,Kinki to Hiiro Gensou -The Primary Plasm-(follow speed dan),speed,mid stream,15.4,14.79,0.61,0.61
5253582,Decoy(follow speed dan),speed,high stream,15.4,15.32,0.08,0.08
